# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||beacon.tingyun.com^                    # 被父域 [tingyun.com] 覆盖
[黑名单] ||beta.easy-hit-counters.com^            # 被父域 [easy-hit-counters.com] 覆盖
[黑名单] ||beta.easyhitcounters.com^              # 被父域 [easyhitcounters.com] 覆盖
[黑名单] ||beta.kaprila.com^                      # 被父域 [kaprila.com] 覆盖
[黑名单] ||bgtfr-test.mno.link^                   # 被父域 [mno.link] 覆盖
[黑名单] ||bidder.doceree.com^                    # 被父域 [doceree.com] 覆盖
[黑名单] ||bigbangads.go2cloud.org^               # 被父域 [go2cloud.org] 覆盖
[黑名单] ||biscotti.yektanet.com^                 # 被父域 [yektanet.com] 覆盖
[黑名单] ||bl.emotionalworld.cn^                  # 被父域 [emotionalworld.cn] 覆盖
[黑名单] ||bliga.oewabox.at^                      # 被父域 [oewabox.at] 覆盖
[黑名单] ||bls.adalliance.io^                     # 被父域 [adalliance.io] 覆盖
[黑名单] ||bluecore-email.branch.rocks^           # 被父域 [branch.rocks] 覆盖
[黑名单] ||bm.alimama.cn^                         # 被父域 [alimama.cn] 覆盖
[黑名单] ||bmf.branch.rocks^                      # 被父域 [branch.rocks] 覆盖
[黑名单] ||bmvip.alimama.cn^                      # 被父域 [alimama.cn] 覆盖
[黑名单] ||bob-a1at.mno.link^                     # 被父域 [mno.link] 覆盖
[黑名单] ||br.adpinfo.com^                        # 被父域 [adpinfo.com] 覆盖
[黑名单] ||broker.datazoom.io^                    # 被父域 [datazoom.io] 覆盖
[黑名单] ||bu.adpinfo.com^                        # 被父域 [adpinfo.com] 覆盖
[黑名单] ||buschen.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||butshesagirl.usesfathom.com^           # 被父域 [usesfathom.com] 覆盖
[黑名单] ||bvoffers-elb.go2cloud.org^             # 被父域 [go2cloud.org] 覆盖
[黑名单] ||c-gtc.getui.net^                       # 被父域 [getui.net] 覆盖
[黑名单] ||c.bigmir.net^                          # 被父域 [bigmir.net] 覆盖
[黑名单] ||c.dynad.net^                           # 被父域 [dynad.net] 覆盖
[黑名单] ||c.lomadee.com^                         # 被父域 [lomadee.com] 覆盖
[黑名单] ||c.plerdy.com^                          # 被父域 [plerdy.com] 覆盖
[黑名单] ||c.tbex.ru^                             # 被父域 [tbex.ru] 覆盖
[黑名单] ||cam2cam.xlovecam.com^                  # 被父域 [xlovecam.com] 覆盖
[黑名单] ||capture.norm0care.com^                 # 被父域 [norm0care.com] 覆盖
[黑名单] ||car4you.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||cards.virtuagirlhd.com^                # 被父域 [virtuagirlhd.com] 覆盖
[黑名单] ||carrick-ui.advoncommerce.com^          # 被父域 [advoncommerce.com] 覆盖
[黑名单] ||casmp.adperfect.com^                   # 被父域 [adperfect.com] 覆盖
[黑名单] ||cb.alimama.cn^                         # 被父域 [alimama.cn] 覆盖
[黑名单] ||cbanners.virtuagirlhd.com^             # 被父域 [virtuagirlhd.com] 覆盖
[黑名单] ||ccs.livejasmin.com^                    # 被父域 [livejasmin.com] 覆盖
[黑名单] ||cdn-adn-*.rayjump.com^                 # 被父域 [rayjump.com] 覆盖
[黑名单] ||cdn-api.admost.com^                    # 被父域 [admost.com] 覆盖
[黑名单] ||cdn-b.notsy.io^                        # 被父域 [notsy.io] 覆盖
[黑名单] ||cdn-jp.gsecondscreen.com^              # 被父域 [gsecondscreen.com] 覆盖
[黑名单] ||cdn-v3.conductrics.net^                # 被父域 [conductrics.net] 覆盖
[黑名单] ||cdn.9823df.com^                        # 被父域 [9823df.com] 覆盖
